#score	occ	co	cco	dCDF
-3.7	60	13040	1362	0.0945702
-3.6	43	13083	1319	0.0915845
-3.5	50	13133	1269	0.0881128
-3.4	46	13179	1223	0.0849188
-3.3	43	13222	1180	0.0819331
-3.2	45	13267	1135	0.0788085
-3.1	62	13329	1073	0.0745035
-3	42	13371	1031	0.0715873
-2.9	30	13401	1001	0.0695042
-2.8	32	13433	969	0.0672823
-2.7	35	13468	934	0.0648521
-2.6	47	13515	887	0.0615887
-2.5	36	13551	851	0.059089
-2.4	39	13590	812	0.0563811
-2.3	48	13638	764	0.0530482
-2.2	32	13670	732	0.0508263
-2.1	40	13710	692	0.0480489
-2	26	13736	666	0.0462436
-1.9	29	13765	637	0.04423
-1.8	26	13791	611	0.0424247
-1.7	37	13828	574	0.0398556
-1.6	32	13860	542	0.0376337
-1.5	33	13893	509	0.0353423
-1.4	19	13912	490	0.0340231
-1.3	29	13941	461	0.0320094
-1.2	21	13962	440	0.0305513
-1.1	22	13984	418	0.0290237
-1	22	14006	396	0.0274962
-0.9	15	14021	381	0.0264547
-0.8	34	14055	347	0.0240939
-0.7	21	14076	326	0.0226357
-0.6	11	14087	315	0.021872
-0.5	19	14106	296	0.0205527
-0.4	14	14120	282	0.0195806
-0.3	19	14139	263	0.0182614
-0.2	9	14148	254	0.0176364
-0.1	16	14164	238	0.0165255
0	17	14181	221	0.0153451
0.1	11	14192	210	0.0145813
0.2	10	14202	200	0.013887
0.3	15	14217	185	0.0128454
0.4	7	14224	178	0.0123594
0.5	16	14240	162	0.0112484
0.6	6	14246	156	0.0108318
0.7	12	14258	144	0.00999861
0.8	10	14268	134	0.00930426
0.9	8	14276	126	0.00874878
1	5	14281	121	0.00840161
1.1	6	14287	115	0.007985
1.2	11	14298	104	0.00722122
1.3	5	14303	99	0.00687405
1.4	9	14312	90	0.00624913
1.5	4	14316	86	0.00597139
1.6	7	14323	79	0.00548535
1.7	6	14329	73	0.00506874
1.8	6	14335	67	0.00465213
1.9	2	14337	65	0.00451326
2	4	14341	61	0.00423552
2.1	6	14347	55	0.00381891
2.2	3	14350	52	0.00361061
2.3	3	14353	49	0.00340231
2.4	6	14359	43	0.0029857
2.5	3	14362	40	0.00277739
2.6	1	14363	39	0.00270796
2.7	2	14365	37	0.00256909
2.8	3	14368	34	0.00236078
2.9	6	14374	28	0.00194417
3	4	14378	24	0.00166644
3.1	1	14379	23	0.001597
3.2	1	14380	22	0.00152757
3.3	3	14383	19	0.00131926
3.4	1	14384	18	0.00124983
3.5	2	14386	16	0.00111096
3.6	2	14388	14	0.000972087
3.7	2	14390	12	0.000833218
3.8	0	14390	12	0.000833218
3.9	1	14391	11	0.000763783
4	0	14391	11	0.000763783
4.1	2	14393	9	0.000624913
4.2	0	14393	9	0.000624913
4.3	1	14394	8	0.000555478
4.4	1	14395	7	0.000486044
4.5	1	14396	6	0.000416609
4.6	0	14396	6	0.000416609
4.7	1	14397	5	0.000347174
4.8	1	14398	4	0.000277739
4.9	0	14398	4	0.000277739
5	1	14399	3	0.000208304
5.1	0	14399	3	0.000208304
5.2	0	14399	3	0.000208304
5.3	1	14400	2	0.00013887
5.4	0	14400	2	0.00013887
5.5	0	14400	2	0.00013887
5.6	0	14400	2	0.00013887
5.7	0	14400	2	0.00013887
5.8	0	14400	2	0.00013887
5.9	0	14400	2	0.00013887
6	1	14401	1	6.94348E-05
6.1	0	14401	1	6.94348E-05
6.2	0	14401	1	6.94348E-05
6.3	0	14401	1	6.94348E-05
6.4	0	14401	1	6.94348E-05
6.5	0	14401	1	6.94348E-05
6.6	0	14401	1	6.94348E-05
6.7	0	14401	1	6.94348E-05
6.8	0	14401	1	6.94348E-05
6.9	0	14401	1	6.94348E-05
7	0	14401	1	6.94348E-05
7.1	0	14401	1	6.94348E-05
7.2	1	14402	0	0
