#score	occ	co	cco	dCDF
1.9	5	14317	85	0.00590196
2	4	14321	81	0.00562422
2.1	3	14324	78	0.00541591
2.2	6	14330	72	0.00499931
2.3	7	14337	65	0.00451326
2.4	5	14342	60	0.00416609
2.5	3	14345	57	0.00395778
2.6	6	14351	51	0.00354117
2.7	3	14354	48	0.00333287
2.8	2	14356	46	0.003194
2.9	5	14361	41	0.00284683
3	3	14364	38	0.00263852
3.1	1	14365	37	0.00256909
3.2	1	14366	36	0.00249965
3.3	1	14367	35	0.00243022
3.4	4	14371	31	0.00215248
3.5	4	14375	27	0.00187474
3.6	6	14381	21	0.00145813
3.7	1	14382	20	0.0013887
3.8	1	14383	19	0.00131926
3.9	2	14385	17	0.00118039
4	1	14386	16	0.00111096
4.1	0	14386	16	0.00111096
4.2	1	14387	15	0.00104152
4.3	0	14387	15	0.00104152
4.4	0	14387	15	0.00104152
4.5	3	14390	12	0.000833218
4.6	2	14392	10	0.000694348
4.7	1	14393	9	0.000624913
4.8	0	14393	9	0.000624913
4.9	0	14393	9	0.000624913
5	0	14393	9	0.000624913
5.1	0	14393	9	0.000624913
5.2	1	14394	8	0.000555478
5.3	0	14394	8	0.000555478
5.4	0	14394	8	0.000555478
5.5	1	14395	7	0.000486044
5.6	1	14396	6	0.000416609
5.7	0	14396	6	0.000416609
5.8	1	14397	5	0.000347174
5.9	1	14398	4	0.000277739
6	0	14398	4	0.000277739
6.1	0	14398	4	0.000277739
6.2	0	14398	4	0.000277739
6.3	0	14398	4	0.000277739
6.4	0	14398	4	0.000277739
6.5	1	14399	3	0.000208304
6.6	1	14400	2	0.00013887
6.7	0	14400	2	0.00013887
6.8	0	14400	2	0.00013887
6.9	1	14401	1	6.94348E-05
7	0	14401	1	6.94348E-05
7.1	0	14401	1	6.94348E-05
7.2	0	14401	1	6.94348E-05
7.3	1	14402	0	0
