#Pvalue	score_theor	score_CRP_binding_sites	NWD_CRP_binding_sites_vs_theor
1.3e-02	1	8.2	0.327272727272727
1.2e-02	1.1	8.4	0.331818181818182
1.1e-02	1.3	8.6	0.331818181818182
1.0e-02	1.4	8.7	0.331818181818182
7.8e-03	1.8	9.3	0.340909090909091
6.8e-03	2	9.5	0.340909090909091
4.0e-03	2.8	10.5	0.35
3.0e-03	3.2	11.1	0.359090909090909
2.6e-03	3.4	11.2	0.354545454545454
2.2e-03	3.6	11.6	0.363636363636364
1.4e-03	4.2	11.7	0.340909090909091
1.2e-03	4.4	11.8	0.336363636363636
1.1e-03	4.5	11.9	0.336363636363636
6.2e-04	5.2	12.5	0.331818181818182
3.1e-04	6	12.9	0.313636363636364
