; matrix-distrib  -v 1 -m $RSAT/public_html/tmp/apache/2018/03/21/matrix-quality_2018-03-21.175002_zdBRpm/CRP.RegulonDB2012/matrix-quality_2018-03-21.175002_CRP.RegulonDB2012_matrix.tab -matrix_format tab -pseudo 1 -bgfile $RSAT/public_html/tmp/apache/2018/03/21/matrix-quality_2018-03-21.175002_zdBRpm/matrix-quality_2018-03-21.1750022nt_upstream-noorf_Escherichia_coli_GCF_000005845.2_ASM584v2-ovlp-1str.freq.gz_inclusive.tab -bg_format inclusive -bg_pseudo 0.01 -decimals 1 -o $RSAT/public_html/tmp/apache/2018/03/21/matrix-quality_2018-03-21.175002_zdBRpm/CRP.RegulonDB2012/matrix-quality_2018-03-21.175002_CRP.RegulonDB2012_theor_score_distrib.tab
; Input files
;	bgfile	/space23/rsat/public_html/tmp/apache/2018/03/21/matrix-quality_2018-03-21.175002_zdBRpm/matrix-quality_2018-03-21.1750022nt_upstream-noorf_Escherichia_coli_GCF_000005845.2_ASM584v2-ovlp-1str.freq.gz_inclusive.tab
; Output files
;	output	/space23/rsat/public_html/tmp/apache/2018/03/21/matrix-quality_2018-03-21.175002_zdBRpm/CRP.RegulonDB2012/matrix-quality_2018-03-21.175002_CRP.RegulonDB2012_theor_score_distrib.tab
; Background model
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.29114
;		c	0.20781
;		g	0.20402
;		t	0.29702
;
; Matrix: matrix-quality_2018-03-21
;
; Theoretical distribution of weight probabilities
;	1	weight      	log-likelihood score: w=P(S|M)/P(S|B)
;	2	proba       	probability density function: P(W=w)
;	3	cum         	cumulative density function: P(W <= w)
;	4	Pval        	P-value = inverse cumulative density function: Pval = P(W >= w)
;	5	ln_Pval     	natural logarithm of the P-value
;	6	log_P       	base 10 logarithm of the P-value
;	7	sig         	significance: sig = -log10(Pval)
#weight	proba	cum	Pval	ln_Pval	log_P	sig
-26.9	2.2e-06	1.3e-05	1.0e+00	-0.000	0	0.000
-26.8	2.4e-06	1.5e-05	1.0e+00	-0.000	0	0.000
-26.7	2.5e-06	1.8e-05	1.0e+00	-0.000	0	0.000
-26.6	3.5e-06	2.1e-05	1.0e+00	-0.000	0	0.000
-26.5	3.3e-06	2.5e-05	1.0e+00	-0.000	0	0.000
-26.4	4.6e-06	2.9e-05	1.0e+00	-0.000	0	0.000
-26.3	4.3e-06	3.4e-05	1.0e+00	-0.000	0	0.000
-26.2	5.5e-06	3.9e-05	1.0e+00	-0.000	0	0.000
-26.1	6.9e-06	4.6e-05	1.0e+00	-0.000	0	0.000
-26.0	6.4e-06	5.2e-05	1.0e+00	-0.000	0	0.000
-25.9	8.9e-06	6.1e-05	1.0e+00	-0.000	0	0.000
-25.8	9.2e-06	7.0e-05	1.0e+00	-0.000	0	0.000
-25.7	9.3e-06	8.0e-05	1.0e+00	-0.000	0	0.000
-25.6	1.3e-05	9.2e-05	1.0e+00	-0.000	0	0.000
-25.5	1.2e-05	1.0e-04	1.0e+00	-0.000	0	0.000
-25.4	1.6e-05	1.2e-04	1.0e+00	-0.000	0	0.000
-25.3	1.5e-05	1.3e-04	1.0e+00	-0.000	0	0.000
-25.2	1.8e-05	1.5e-04	1.0e+00	-0.000	0	0.000
-25.1	2.2e-05	1.8e-04	1.0e+00	-0.000	0	0.000
-25.0	2.0e-05	2.0e-04	1.0e+00	-0.000	0	0.000
-24.9	2.7e-05	2.2e-04	1.0e+00	-0.000	0	0.000
-24.8	2.8e-05	2.5e-04	1.0e+00	-0.000	0	0.000
-24.7	2.7e-05	2.8e-04	1.0e+00	-0.000	0	0.000
-24.6	3.7e-05	3.1e-04	1.0e+00	-0.000	0	0.000
-24.5	3.3e-05	3.5e-04	1.0e+00	-0.000	0	0.000
-24.4	4.5e-05	3.9e-04	1.0e+00	-0.000	0	0.000
-24.3	4.0e-05	4.3e-04	1.0e+00	-0.000	0	0.000
-24.2	4.9e-05	4.8e-04	1.0e+00	-0.000	0	0.000
-24.1	5.9e-05	5.4e-04	1.0e+00	-0.000	0	0.000
-24.0	5.2e-05	5.9e-04	1.0e+00	-0.001	0	0.000
-23.9	7.0e-05	6.6e-04	1.0e+00	-0.001	0	0.000
-23.8	6.9e-05	7.3e-04	1.0e+00	-0.001	0	0.000
-23.7	6.8e-05	8.0e-04	1.0e+00	-0.001	0	0.000
-23.6	9.0e-05	8.9e-04	1.0e+00	-0.001	0	0.000
-23.5	7.9e-05	9.7e-04	1.0e+00	-0.001	0	0.000
-23.4	1.1e-04	1.1e-03	1.0e+00	-0.001	0	0.000
-23.3	9.3e-05	1.2e-03	1.0e+00	-0.001	0	0.000
-23.2	1.1e-04	1.3e-03	1.0e+00	-0.001	-0.001	0.001
-23.1	1.3e-04	1.4e-03	1.0e+00	-0.001	-0.001	0.001
-23.0	1.2e-04	1.5e-03	1.0e+00	-0.001	-0.001	0.001
-22.9	1.5e-04	1.7e-03	1.0e+00	-0.002	-0.001	0.001
-22.8	1.5e-04	1.8e-03	1.0e+00	-0.002	-0.001	0.001
-22.7	1.4e-04	2.0e-03	1.0e+00	-0.002	-0.001	0.001
-22.6	1.9e-04	2.2e-03	1.0e+00	-0.002	-0.001	0.001
-22.5	1.6e-04	2.3e-03	1.0e+00	-0.002	-0.001	0.001
