#score	occ	co	cco	dCDF
10.9	1	6404	22	0.00342359
11	2	6406	20	0.00311236
11.1	1	6407	19	0.00295674
11.2	2	6409	17	0.0026455
11.3	1	6410	16	0.00248988
11.4	1	6411	15	0.00233427
11.5	1	6412	14	0.00217865
11.6	0	6412	14	0.00217865
11.7	5	6417	9	0.00140056
11.8	1	6418	8	0.00124494
11.9	1	6419	7	0.00108932
12	1	6420	6	0.000933707
12.1	1	6421	5	0.000778089
12.2	1	6422	4	0.000622471
12.3	0	6422	4	0.000622471
12.4	0	6422	4	0.000622471
12.5	0	6422	4	0.000622471
12.6	1	6423	3	0.000466853
12.7	0	6423	3	0.000466853
12.8	1	6424	2	0.000311236
12.9	0	6424	2	0.000311236
13	2	6426	0	0
