#Pvalue	score_theor	score_LexA_peaks	NWD_LexA_peaks_vs_theor
2.8e-03	3.3	2.9	-0.0181818181818182
2.6e-03	3.4	3.1	-0.0136363636363636
2.4e-03	3.5	3.3	-0.0090909090909091
2.2e-03	3.6	3.4	-0.0090909090909091
1.9e-03	3.8	3.5	-0.0136363636363636
1.5e-03	4.1	3.6	-0.0227272727272727
1.4e-03	4.2	3.7	-0.0227272727272727
1.3e-03	4.3	3.8	-0.0227272727272727
1.2e-03	4.4	3.9	-0.0227272727272727
1.1e-03	4.5	4.1	-0.0181818181818182
1.0e-03	4.6	4.4	-0.00909090909090906
6.2e-04	5.2	5.1	-0.00454545454545457
2.8e-04	6.1	6.4	0.0136363636363637
2.1e-04	6.4	6.5	0.00454545454545453
1.4e-04	6.8	6.8	0
