#Pvalue	score_theor	score_LexA_peaks	NWD_LexA_peaks_vs_theor
9.1e-03	-2.1	-1.7	0.02
8.8e-03	-2	-1.6	0.02
8.0e-03	-1.8	-1.4	0.02
7.3e-03	-1.6	-1.1	0.025
7.0e-03	-1.5	-1	0.025
6.1e-03	-1.2	-0.5	0.035
5.9e-03	-1.1	-0.4	0.035
5.4e-03	-0.9	-0.2	0.035
4.9e-03	-0.7	0.1	0.04
4.4e-03	-0.5	0.5	0.05
3.7e-03	-0.1	0.9	0.05
3.5e-03	0	1	0.05
3.2e-03	0.2	1.6	0.07
3.0e-03	0.3	1.9	0.08
2.9e-03	0.4	2	0.08
2.6e-03	0.6	2.4	0.09
2.5e-03	0.7	2.6	0.095
2.3e-03	0.8	3	0.11
2.2e-03	0.9	3.2	0.115
2.1e-03	1	3.3	0.115
2.0e-03	1.1	4.1	0.15
1.9e-03	1.2	4.5	0.165
1.8e-03	1.3	4.8	0.175
1.7e-03	1.4	5.7	0.215
1.5e-03	1.7	7.5	0.29
1.4e-03	1.8	9.3	0.375
1.3e-03	1.9	9.7	0.39
1.2e-03	2.1	10.4	0.415
1.1e-03	2.3	10.7	0.42
1.0e-03	2.4	11.2	0.44
7.6e-04	2.9	13.2	0.515
3.5e-04	4.2	15.3	0.555
2.1e-04	5	16.4	0.57
1.4e-04	5.6	17	0.57
