#weight	occ	cum	dcum	dCDF
<blockquote class='information'>	NA	0	14478	      1
<font color='#006600'><b>Information: </b>Input files<br>	NA	0	14478	      1
0.9	1	14457	22	0.00151955
1	1	14458	21	0.00145048
1.1	3	14461	20	0.00138141
1.2	3	14464	17	0.0011742
1.3	2	14466	14	0.000966984
1.4	1	14467	12	0.000828844
1.5	2	14469	11	0.000759773
1.6	1	14470	9	0.000621633
1.7	0	14470	8	0.000552563
1.8	0	14470	8	0.000552563
1.9	0	14470	8	0.000552563
2	0	14470	8	0.000552563
2.1	1	14471	8	0.000552563
2.2	0	14471	7	0.000483492
2.3	1	14472	7	0.000483492
2.4	0	14472	6	0.000414422
2.5	0	14472	6	0.000414422
2.6	1	14473	6	0.000414422
2.7	0	14473	5	0.000345352
2.8	0	14473	5	0.000345352
2.9	0	14473	5	0.000345352
3	0	14473	5	0.000345352
3.1	0	14473	5	0.000345352
3.2	0	14473	5	0.000345352
3.3	0	14473	5	0.000345352
3.4	0	14473	5	0.000345352
3.5	0	14473	5	0.000345352
3.6	1	14474	5	0.000345352
3.7	0	14474	4	0.000276281
3.8	1	14475	4	0.000276281
3.9	0	14475	3	0.000207211
4	0	14475	3	0.000207211
4.1	0	14475	3	0.000207211
4.2	0	14475	3	0.000207211
4.3	0	14475	3	0.000207211
4.4	1	14476	3	0.000207211
4.5	0	14476	2	0.000138141
4.6	0	14476	2	0.000138141
4.7	0	14476	2	0.000138141
4.8	0	14476	2	0.000138141
4.9	1	14477	2	0.000138141
5	0	14477	1	6.90703e-05
5.1	0	14477	1	6.90703e-05
5.2	0	14477	1	6.90703e-05
5.3	0	14477	1	6.90703e-05
5.4	1	14478	1	6.90703e-05
