#Pvalue	score_theor	score_CRP_binding_sites	NWD_CRP_binding_sites_vs_theor
4.4e-03	-0.5	-0.5	0
3.3e-03	0.1	-0.1	-0.01
3.0e-03	0.3	0.1	-0.01
2.7e-03	0.5	0.3	-0.01
2.6e-03	0.6	0.6	0
2.0e-03	1.1	0.8	-0.015
1.8e-03	1.3	1.3	0
1.7e-03	1.4	1.4	0
1.6e-03	1.5	1.5	0
1.4e-03	1.8	1.7	-0.005
1.3e-03	1.9	2.2	0.015
1.1e-03	2.3	2.4	0.005
7.1e-04	3	3.5	0.025
5.7e-04	3.4	3.8	0.02
1.4e-04	5.6	8.2	0.13
