#score	occ	co	cco	dCDF
-13.2	73	10867	3611	0.249413
-13.1	66	10933	3545	0.244854
-13	64	10997	3481	0.240434
-12.9	79	11076	3402	0.234977
-12.8	59	11135	3343	0.230902
-12.7	53	11188	3290	0.227241
-12.6	76	11264	3214	0.221992
-12.5	66	11330	3148	0.217433
-12.4	51	11381	3097	0.213911
-12.3	60	11441	3037	0.209767
-12.2	72	11513	2965	0.204793
-12.1	67	11580	2898	0.200166
-12	41	11621	2857	0.197334
-11.9	58	11679	2799	0.193328
-11.8	55	11734	2744	0.189529
-11.7	64	11798	2680	0.185108
-11.6	63	11861	2617	0.180757
-11.5	58	11919	2559	0.176751
-11.4	64	11983	2495	0.17233
-11.3	56	12039	2439	0.168462
-11.2	52	12091	2387	0.164871
-11.1	58	12149	2329	0.160865
-11	61	12210	2268	0.156651
-10.9	54	12264	2214	0.152922
-10.8	58	12322	2156	0.148916
-10.7	65	12387	2091	0.144426
-10.6	48	12435	2043	0.141111
-10.5	42	12477	2001	0.13821
-10.4	51	12528	1950	0.134687
-10.3	51	12579	1899	0.131165
-10.2	35	12614	1864	0.128747
-10.1	50	12664	1814	0.125294
-10	49	12713	1765	0.121909
-9.9	50	12763	1715	0.118456
-9.8	56	12819	1659	0.114588
-9.7	38	12857	1621	0.111963
-9.6	40	12897	1581	0.1092
-9.5	42	12939	1539	0.106299
-9.4	37	12976	1502	0.103744
-9.3	30	13006	1472	0.101672
-9.2	34	13040	1438	0.0993231
-9.1	32	13072	1406	0.0971129
-9	39	13111	1367	0.0944191
-8.9	31	13142	1336	0.0922779
-8.8	27	13169	1309	0.090413
-8.7	41	13210	1268	0.0875812
-8.6	27	13237	1241	0.0857163
-8.5	28	13265	1213	0.0837823
-8.4	39	13304	1174	0.0810885
-8.3	36	13340	1138	0.078602
-8.2	32	13372	1106	0.0763918
-8.1	29	13401	1077	0.0743887
-8	18	13419	1059	0.0731455
-7.9	25	13444	1034	0.0714187
-7.8	33	13477	1001	0.0691394
-7.7	33	13510	968	0.0668601
-7.6	27	13537	941	0.0649952
-7.5	29	13566	912	0.0629921
-7.4	25	13591	887	0.0612654
-7.3	30	13621	857	0.0591933
-7.2	18	13639	839	0.05795
-7.1	19	13658	820	0.0566377
-7	20	13678	800	0.0552563
-6.9	27	13705	773	0.0533914
-6.8	24	13729	749	0.0517337
-6.7	19	13748	730	0.0504213
-6.6	18	13766	712	0.0491781
-6.5	27	13793	685	0.0473132
-6.4	33	13826	652	0.0450338
-6.3	23	13849	629	0.0434452
-6.2	16	13865	613	0.0423401
-6.1	17	13882	596	0.0411659
-6	13	13895	583	0.040268
-5.9	27	13922	556	0.0384031
-5.8	15	13937	541	0.037367
-5.7	16	13953	525	0.0362619
-5.6	15	13968	510	0.0352259
-5.5	14	13982	496	0.0342589
-5.4	12	13994	484	0.03343
-5.3	20	14014	464	0.0320486
-5.2	16	14030	448	0.0309435
-5.1	16	14046	432	0.0298384
-5	11	14057	421	0.0290786
-4.9	15	14072	406	0.0280425
-4.8	14	14086	392	0.0270756
-4.7	7	14093	385	0.0265921
-4.6	17	14110	368	0.0254179
-4.5	16	14126	352	0.0243128
-4.4	9	14135	343	0.0236911
-4.3	12	14147	331	0.0228623
-4.2	11	14158	320	0.0221025
-4.1	13	14171	307	0.0212046
-4	5	14176	302	0.0208592
-3.9	11	14187	291	0.0200995
-3.8	16	14203	275	0.0189943
-3.7	9	14212	266	0.0183727
-3.6	2	14214	264	0.0182346
-3.5	14	14228	250	0.0172676
-3.4	7	14235	243	0.0167841
-3.3	9	14244	234	0.0161625
-3.2	7	14251	227	0.015679
-3.1	9	14260	218	0.0150573
