#score	occ	co	cco	dCDF
-6.3	12	6783	255	0.0362319
-6.2	13	6796	242	0.0343848
-6.1	6	6802	236	0.0335323
-6	9	6811	227	0.0322535
-5.9	9	6820	218	0.0309747
-5.8	9	6829	209	0.0296959
-5.7	5	6834	204	0.0289855
-5.6	5	6839	199	0.0282751
-5.5	9	6848	190	0.0269963
-5.4	6	6854	184	0.0261438
-5.3	4	6858	180	0.0255754
-5.2	7	6865	173	0.0245808
-5.1	7	6872	166	0.0235862
-5	5	6877	161	0.0228758
-4.9	6	6883	155	0.0220233
-4.8	5	6888	150	0.0213129
-4.7	6	6894	144	0.0204604
-4.6	6	6900	138	0.0196078
-4.5	6	6906	132	0.0187553
-4.4	2	6908	130	0.0184712
-4.3	7	6915	123	0.0174766
-4.2	6	6921	117	0.016624
-4.1	6	6927	111	0.0157715
-4	5	6932	106	0.0150611
-3.9	6	6938	100	0.0142086
-3.8	8	6946	92	0.0130719
-3.7	5	6951	87	0.0123615
-3.6	4	6955	83	0.0117931
-3.5	3	6958	80	0.0113669
-3.4	1	6959	79	0.0112248
-3.3	3	6962	76	0.0107985
-3.2	2	6964	74	0.0105144
-3.1	2	6966	72	0.0102302
-3	5	6971	67	0.00951975
-2.9	3	6974	64	0.00909349
-2.8	2	6976	62	0.00880932
-2.7	1	6977	61	0.00866724
-2.6	3	6980	58	0.00824098
-2.5	1	6981	57	0.00809889
-2.4	3	6984	54	0.00767263
-2.3	1	6985	53	0.00753055
-2.2	1	6986	52	0.00738846
-2.1	3	6989	49	0.00696221
-2	1	6990	48	0.00682012
-1.9	1	6991	47	0.00667803
-1.8	2	6993	45	0.00639386
-1.7	2	6995	43	0.00610969
-1.6	3	6998	40	0.00568343
-1.5	2	7000	38	0.00539926
-1.4	2	7002	36	0.00511509
-1.3	2	7004	34	0.00483092
-1.2	0	7004	34	0.00483092
-1.1	2	7006	32	0.00454675
-1	2	7008	30	0.00426257
-0.9	1	7009	29	0.00412049
-0.8	0	7009	29	0.00412049
-0.7	1	7010	28	0.0039784
-0.6	2	7012	26	0.00369423
-0.5	1	7013	25	0.00355215
-0.4	1	7014	24	0.00341006
-0.3	1	7015	23	0.00326797
-0.2	1	7016	22	0.00312589
-0.1	2	7018	20	0.00284172
0	1	7019	19	0.00269963
0.1	1	7020	18	0.00255754
0.2	1	7021	17	0.00241546
0.3	0	7021	17	0.00241546
0.4	0	7021	17	0.00241546
0.5	2	7023	15	0.00213129
0.6	0	7023	15	0.00213129
0.7	0	7023	15	0.00213129
0.8	0	7023	15	0.00213129
0.9	0	7023	15	0.00213129
1	1	7024	14	0.0019892
1.1	0	7024	14	0.0019892
1.2	1	7025	13	0.00184712
1.3	0	7025	13	0.00184712
1.4	1	7026	12	0.00170503
1.5	1	7027	11	0.00156294
1.6	0	7027	11	0.00156294
1.7	1	7028	10	0.00142086
1.8	0	7028	10	0.00142086
1.9	1	7029	9	0.00127877
2	0	7029	9	0.00127877
2.1	0	7029	9	0.00127877
2.2	0	7029	9	0.00127877
2.3	1	7030	8	0.00113669
2.4	0	7030	8	0.00113669
2.5	1	7031	7	0.000994601
2.6	0	7031	7	0.000994601
2.7	0	7031	7	0.000994601
2.8	0	7031	7	0.000994601
2.9	1	7032	6	0.000852515
3	0	7032	6	0.000852515
3.1	0	7032	6	0.000852515
3.2	0	7032	6	0.000852515
3.3	0	7032	6	0.000852515
3.4	1	7033	5	0.000710429
3.5	2	7035	3	0.000426257
3.6	0	7035	3	0.000426257
3.7	0	7035	3	0.000426257
3.8	0	7035	3	0.000426257
3.9	0	7035	3	0.000426257
4	0	7035	3	0.000426257
4.1	0	7035	3	0.000426257
4.2	0	7035	3	0.000426257
4.3	0	7035	3	0.000426257
4.4	0	7035	3	0.000426257
4.5	0	7035	3	0.000426257
4.6	0	7035	3	0.000426257
4.7	0	7035	3	0.000426257
4.8	1	7036	2	0.000284172
4.9	0	7036	2	0.000284172
5	0	7036	2	0.000284172
5.1	1	7037	1	0.000142086
5.2	0	7037	1	0.000142086
5.3	0	7037	1	0.000142086
5.4	0	7037	1	0.000142086
5.5	0	7037	1	0.000142086
5.6	0	7037	1	0.000142086
5.7	0	7037	1	0.000142086
5.8	0	7037	1	0.000142086
5.9	0	7037	1	0.000142086
6	0	7037	1	0.000142086
6.1	0	7037	1	0.000142086
6.2	0	7037	1	0.000142086
6.3	0	7037	1	0.000142086
6.4	0	7037	1	0.000142086
6.5	0	7037	1	0.000142086
6.6	1	7038	0	0
